epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,479.955,1.57708,2.15078,1.39444,0.54214,0.51311,0.49569,0.22514,1.64864,1.96718,1.42416,0.000664762,0.000664762,0.000664762
2,1057.48,1.67178,1.83608,1.48891,0.65981,0.53433,0.58121,0.28078,1.64747,1.72189,1.47289,0.00119962,0.00119962,0.00119962
3,2027.5,1.66198,1.73401,1.5092,0.63516,0.52434,0.54341,0.27326,1.60807,1.69841,1.40801,0.00160247,0.00160247,0.00160247
4,3125.16,1.64494,1.64311,1.48945,0.66413,0.57518,0.60993,0.30047,1.60889,1.5685,1.45266,0.001406,0.001406,0.001406
5,3838.51,1.61916,1.54614,1.46736,0.72926,0.60674,0.66909,0.34029,1.55334,1.38041,1.42012,0.001208,0.001208,0.001208
6,4139.33,1.58238,1.43021,1.4486,0.74033,0.62921,0.66987,0.3371,1.57832,1.34281,1.42724,0.00101,0.00101,0.00101
7,4437.67,1.53999,1.35619,1.40581,0.69739,0.64737,0.67024,0.34142,1.54329,1.33909,1.39637,0.000812,0.000812,0.000812
8,4750.95,1.47768,1.2812,1.37194,0.72754,0.69339,0.72328,0.40025,1.47635,1.18983,1.34065,0.000614,0.000614,0.000614
9,5008.06,1.43966,1.20734,1.34357,0.75763,0.69288,0.73296,0.40668,1.44381,1.17898,1.32908,0.000416,0.000416,0.000416
10,5356.71,1.41572,1.13986,1.32838,0.80044,0.68165,0.74897,0.41832,1.42811,1.12698,1.31219,0.000218,0.000218,0.000218
