epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
1,262.848,1.3775,2.56133,1.89006,0.03558,0.51307,0.38968,0.37085,0.24639,0.93683,1.29447,1.50662,0.01767,0.000255308,0.000255308,0.000255308
2,497.739,0.93223,1.06449,1.50407,0.02333,0.69755,0.78224,0.74718,0.49991,0.80064,0.81165,1.33245,0.01414,0.000460989,0.000460989,0.000460989
3,712.443,0.82202,0.78868,1.38396,0.02423,0.83531,0.8373,0.8931,0.62024,0.73624,0.65167,1.2856,0.01804,0.000615916,0.000615916,0.000615916
4,916.294,0.75306,0.66187,1.3141,0.02611,0.83388,0.87111,0.95354,0.65854,0.68867,0.59233,1.23329,0.01636,0.000540607,0.000540607,0.000540607
5,1122.91,0.70551,0.59203,1.26465,0.02089,0.90696,0.95,0.97177,0.69137,0.63167,0.52121,1.19216,0.01372,0.000464476,0.000464476,0.000464476
6,1334.26,0.6624,0.53707,1.23445,0.0211,0.95536,0.96395,0.97608,0.68848,0.60572,0.48211,1.16355,0.01574,0.000388345,0.000388345,0.000388345
7,1539.45,0.63285,0.50741,1.19901,0.02234,0.95574,0.93203,0.97365,0.69811,0.59841,0.47388,1.13449,0.01886,0.000312214,0.000312214,0.000312214
8,1755.1,0.61498,0.48679,1.19119,0.01814,0.96661,0.95893,0.98432,0.71314,0.56379,0.44137,1.12671,0.01524,0.000236083,0.000236083,0.000236083
9,1973.5,0.59525,0.46715,1.17554,0.01897,0.95292,0.9673,0.98302,0.70833,0.56045,0.43555,1.10929,0.01571,0.000159952,0.000159952,0.000159952
10,2193.03,0.57548,0.45153,1.16014,0.01831,0.96677,0.96492,0.97987,0.71296,0.5465,0.42429,1.10602,0.0154,8.3821e-05,8.3821e-05,8.3821e-05
