epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,124.427,1.38443,8.64726,0.55079,2.58344,1.45094,0.73397,0.74714,0.80112,0.48702,0.14795,0.13062,0.03859,0.00606,1.26453,6.53367,0.3758,1.4587,1.27946,0.00053344,0.00053344,0.00053344
2,234.543,1.16848,7.75218,0.3321,1.4863,1.19219,0.74815,0.75374,0.81638,0.49508,0.18744,0.17346,0.04726,0.00926,1.26581,6.86668,0.3203,1.99482,1.2939,0.000976279,0.000976279,0.000976279
3,327.94,1.21836,8.03755,0.29164,1.67333,1.24672,0.79994,0.75707,0.84384,0.45436,0.07075,0.06156,0.00939,0.00166,1.31656,7.58375,0.28706,1.81104,1.34447,0.0013102,0.0013102,0.0013102
4,422.143,1.18499,7.68054,0.26406,1.33274,1.2277,0.77623,0.77342,0.84977,0.54117,0.04661,0.03536,0.00431,0.00065,1.26278,7.83089,0.26355,1.46609,1.35426,0.0011719,0.0011719,0.0011719
5,511.401,1.10526,7.5568,0.25363,1.29833,1.19608,0.79438,0.79659,0.8755,0.5577,0.1153,0.09235,0.02073,0.00319,1.16181,7.33521,0.23974,1.75155,1.21438,0.00100687,0.00100687,0.00100687
6,596.784,1.1014,7.46745,0.22996,1.18421,1.15105,0.80899,0.81281,0.88318,0.58492,0.37237,0.24584,0.18443,0.03966,1.14575,6.31339,0.20779,1.20665,1.21642,0.000841835,0.000841835,0.000841835
7,686.175,1.06016,7.47674,0.21612,1.12758,1.16417,0.85919,0.81656,0.91127,0.62676,0.36357,0.28869,0.17743,0.04008,1.08285,6.10506,0.19399,1.01816,1.19508,0.000676802,0.000676802,0.000676802
8,777.588,1.03004,7.52779,0.2083,1.08025,1.14387,0.85512,0.82446,0.91008,0.62599,0.33672,0.24334,0.14715,0.03391,1.08539,6.36467,0.1887,0.96485,1.19529,0.000511769,0.000511769,0.000511769
9,864.857,0.97541,7.0463,0.19878,0.98943,1.11782,0.8533,0.8299,0.91186,0.62753,0.33304,0.23586,0.15394,0.03555,1.09062,6.32383,0.18417,0.95409,1.20312,0.000346736,0.000346736,0.000346736
10,948.807,0.99628,7.5035,0.19444,1.02032,1.11977,0.87704,0.83077,0.91959,0.63619,0.33074,0.23045,0.14586,0.03457,1.08152,6.32571,0.18045,0.93806,1.18848,0.000181703,0.000181703,0.000181703
